,Unnamed: 0,Observed,Simulated
177,177,258.0,180.23178025445017
178,178,221.0,187.3188095285998
179,179,240.0,199.9953650769185
180,180,231.0,217.05698888907452
181,181,243.0,228.48745668826012
182,182,238.0,235.6058037475631
183,183,253.0,244.64298168230115
184,184,224.0,246.81955683833596
185,185,235.0,245.58116213398787
186,186,221.0,243.83633592825828
187,187,234.0,248.9865293285397
188,188,204.0,243.7024442126377
189,189,214.0,259.6704771563288
190,190,220.0,253.82886999197615
191,191,214.0,254.27091998380916
192,192,269.0,283.5308538495403
193,193,351.0,316.03644511766163
194,194,320.0,312.0282487513295
195,195,291.0,303.883136648049
196,196,302.0,303.6227298101052
197,197,413.0,312.29101260725
198,198,530.0,321.814434620884
199,199,397.0,314.8415024761988
200,200,329.0,323.3115120481743
201,201,308.0,328.88428821774045
202,202,343.0,333.7951788206658
203,203,325.0,336.30289317818574
204,204,327.0,343.96640976580204
205,205,317.0,338.821803371095
206,206,303.0,335.71977129559946
207,207,355.0,359.3124518545319
208,208,414.0,366.9345023851508
209,209,379.0,356.4716559381201
210,210,386.0,358.6383883616781
211,211,479.0,365.8495539159337
212,212,446.0,378.7522413324517
213,213,528.0,376.57165051616033
214,214,425.0,368.3638373698517
215,215,411.0,376.4517917871973
216,216,617.0,386.0196261302996
217,217,485.0,377.8224195648861
218,218,334.0,371.29734266001344
219,219,326.0,396.13036028070064
220,220,290.0,390.8651749570932
221,221,322.0,385.9506178817597
222,222,306.0,393.6628243499872
223,223,323.0,388.962384898444
224,224,319.0,409.624942924496
225,225,314.0,418.1353055172021
226,226,374.0,405.3260476743714
227,227,361.0,391.19166559534654
228,228,348.0,416.8754357601776
229,229,358.0,406.430266947972
230,230,365.0,407.4631646035371
231,231,407.0,431.8282268588882
232,232,530.0,423.4068635190428
233,233,464.0,425.039796843601
234,234,464.0,433.4498988753355
235,235,648.0,422.37291829993256
236,236,571.0,413.0851762597276
237,237,528.0,405.89304144320977
238,238,429.0,394.0831592224978
239,239,385.0,391.5933625664488
240,240,395.0,384.7636410880884
241,241,408.0,380.457893026439
242,242,374.0,367.92121994776505
243,243,320.0,345.22112900206275
244,244,306.0,353.6620905098995
245,245,340.0,361.3605913550773
246,246,320.0,378.0151930814429
247,247,315.0,359.8999822337042
248,248,283.0,331.8622494858516
249,249,471.0,374.5979535000456
250,250,345.0,358.80228840802056
251,251,344.0,336.36136031855204
252,252,397.0,350.9383816439041
253,253,393.0,366.8048227479515
254,254,390.0,383.4122404663022
255,255,395.0,356.72077964371243
256,256,370.0,343.01629145454814
257,257,361.0,343.0035679223221
258,258,373.0,330.68299847332617
259,259,320.0,306.0752506633376
260,260,285.0,284.7629631726171
261,261,268.0,273.78240209185344
262,262,256.0,261.1598724509543
263,263,238.0,245.5330833321114
264,264,224.0,232.62982848533971
265,265,218.0,221.7208290892574
266,266,210.0,214.06682787051
267,267,207.0,214.466975320535
268,268,201.0,202.79256707288167
269,269,188.0,192.60961651058355
270,270,181.0,197.71214576955853
271,271,174.0,185.83314617910403
272,272,170.0,177.26356350973344
273,273,166.0,169.31436761364546
274,274,164.0,161.50346101764387
275,275,161.0,155.1954807453933
276,276,161.0,151.53881833331684
277,277,166.0,143.6984381004863
278,278,159.0,172.19733887487175
279,279,160.0,154.7494914781456
280,280,156.0,149.76234697882606
281,281,153.0,140.92897471423032
282,282,143.0,134.10538584745743
283,283,143.0,166.77813988587968
284,284,147.0,170.1305069123167
285,285,146.0,178.8929176588455
286,286,139.0,160.75780310374802
287,287,137.0,150.59257382475613
288,288,129.0,152.02736486958824
289,289,123.0,142.10991710539642
290,290,120.0,134.54625733030204
291,291,118.0,128.55978085734483
292,292,116.0,123.20226808419656
293,293,112.0,118.91809328430608
294,294,110.0,114.70401248892163
295,295,108.0,110.33753302195144
296,296,107.0,106.52665507026552
297,297,105.0,103.16365963869288
298,298,101.0,100.56026781071154
299,299,103.0,98.05986457376748
300,300,96.7,95.21870855738702
301,301,95.4,92.63997812119888
302,302,94.8,90.11610836963034
303,303,95.4,88.88190937552322
304,304,92.4,87.57252587280765
305,305,90.2,90.08585451620262
306,306,87.0,84.64871054543892
307,307,86.1,82.93068996313409
308,308,87.0,81.25741998602567
309,309,86.1,82.47638566024636
310,310,84.2,80.6848119313123
311,311,77.6,78.53677742582401
312,312,77.8,81.3841042462129
313,313,73.7,78.78971491744811
314,314,71.6,77.21384106974243
315,315,70.2,76.03953324769593
316,316,69.7,74.50908655664294
317,317,69.1,73.15674749251411
318,318,66.1,71.98185041597344
319,319,67.4,71.09974189425542
320,320,66.9,71.26719383574327
321,321,66.9,69.68140632677913
322,322,68.0,68.97916501137759
323,323,66.3,68.19738797941292
324,324,65.0,67.39099320413611
325,325,63.3,66.3260902998412
326,326,64.2,65.8643875794155
327,327,63.0,65.46862134567586
328,328,62.8,64.86369159074502
329,329,61.7,64.16611247872562
330,330,59.7,63.53401154434123
331,331,59.1,63.29154968816911
332,332,60.7,63.13402232005999
333,333,57.6,62.65618602982624
334,334,56.6,62.32501409198031
335,335,55.5,62.25334874215649
336,336,55.3,61.714879255684274
337,337,54.5,61.47836996111534
338,338,53.6,60.90241188548139
339,339,52.8,60.41271412052232
340,340,51.8,59.42875732433447
341,341,51.6,59.422575608205776
342,342,50.6,58.24327549113919
343,343,51.1,57.65242782740709
344,344,49.9,58.29122061954245
345,345,50.4,56.120036050917314
346,346,48.2,54.39328850043256
347,347,47.5,52.984711096501
348,348,44.8,51.52630076736076
349,349,45.0,51.16569884116693
350,350,46.6,50.73501109455727
351,351,44.8,49.70443226454799
352,352,45.5,48.494370880461474
353,353,44.1,48.10953313516468
354,354,43.7,47.73824278717376
355,355,42.5,46.73410402456045
356,356,42.3,45.781005340459856
357,357,41.4,45.475656935215085
358,358,41.6,45.01727149934919
359,359,40.6,44.81975121047809
360,360,40.4,44.30194927978301
361,361,40.0,42.29661666301224
362,362,39.3,42.16144822932093
363,363,38.5,41.950874316585846
364,364,38.1,41.57394785847935
365,365,37.3,41.280640977944216
366,366,37.1,41.045536618859074
367,367,36.9,38.21973395568793
368,368,36.2,38.06295133978672
369,369,35.8,38.02873638670372
370,370,35.6,38.017671496757565
371,371,35.2,37.93686724621392
372,372,35.2,37.85456530716425
373,373,34.8,37.76304262649278
374,374,34.0,37.68386973792838
375,375,34.0,37.49630948682685
376,376,33.5,37.29911928959369
377,377,33.3,37.06038801453631
378,378,33.1,36.8305773977935
379,379,33.1,36.50684479793652
380,380,32.7,36.19555065116373
381,381,32.9,37.00794709258491
382,382,50.2,37.216805074408725
383,383,39.3,37.865840255425454
384,384,34.0,36.64272388345992
385,385,33.5,35.85360163054357
386,386,33.7,35.15953349321863
387,387,33.3,34.53178172076635
